Track Name,Artist,Album,Release Date,Track ID,URL,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Duration_ms,Time Signature,like,t
THE GREATEST,Billie Eilish,HIT ME HARD AND SOFT,2024-05-17,6TGd66r0nlPaYm3KIoI7ET,https://open.spotify.com/track/6TGd66r0nlPaYm3KIoI7ET,0.407,0.192,7,-10.99,1,0.0368,0.637,3.33e-06,0.21,0.159,128.173,293840,4,0,0
Treasure,Bruno Mars,Unorthodox Jukebox,2012-12-07,55h7vJchibLdUkxdlX3fK7,https://open.spotify.com/track/55h7vJchibLdUkxdlX3fK7,0.874,0.692,5,-5.28,0,0.0431,0.0412,7.24e-05,0.324,0.937,116.017,178560,4,1,1
Résumé,Jenevieve,Division,2021-09-03,2K2kujL7erU8ItCd2Tv5lh,https://open.spotify.com/track/2K2kujL7erU8ItCd2Tv5lh,0.82,0.447,0,-7.686,1,0.085,0.277,4.1e-05,0.0583,0.661,149.98,180357,4,1,2
Like That,Future,WE DON'T TRUST YOU,2024-03-22,2tudvzsrR56uom6smgOcSf,https://open.spotify.com/track/2tudvzsrR56uom6smgOcSf,0.814,0.676,11,-4.67,0,0.231,0.00709,1.28e-05,0.119,0.312,162.012,267707,4,1,3
Tia Tamera (feat. Rico Nasty),Doja Cat,Amala (Deluxe Version),2019-03-01,1uNePI826aqh9uC9pgbeHU,https://open.spotify.com/track/1uNePI826aqh9uC9pgbeHU,0.822,0.654,0,-4.623,1,0.132,0.019,0.0,0.233,0.421,119.884,211013,4,0,4
God's Plan,Drake,Scorpion,2018-06-29,6DCZcSspjsKoFjzjrWoCdn,https://open.spotify.com/track/6DCZcSspjsKoFjzjrWoCdn,0.754,0.449,7,-9.211,1,0.109,0.0332,8.29e-05,0.552,0.357,77.169,198973,4,0,5
FDT,YG,Still Brazy (Deluxe),2016-06-17,4nxSEcO1rK0wtYswNpMH2U,https://open.spotify.com/track/4nxSEcO1rK0wtYswNpMH2U,0.808,0.51,10,-7.201,0,0.562,0.172,0.0,0.259,0.141,96.628,226640,4,0,6
X (feat. Future),21 Savage,Savage Mode,2016-07-15,6fwdbPMwP1zVStm8FybmkO,https://open.spotify.com/track/6fwdbPMwP1zVStm8FybmkO,0.835,0.413,1,-9.81,1,0.396,0.373,0.00133,0.101,0.111,149.004,258880,4,0,7
Dark Knight Dummo (feat. Travis Scott),Trippie Redd,LIFE'S A TRIP,2018-08-10,1pfwOQKJsRRBf6NdYO4Qog,https://open.spotify.com/track/1pfwOQKJsRRBf6NdYO4Qog,0.378,0.817,8,-3.071,0,0.0911,0.151,0.0,0.149,0.257,121.079,256163,4,0,8
I.F.L.Y.,Bazzi,Soul Searching,2019-08-09,4a6q8CR2hzLk2plDkSxkfD,https://open.spotify.com/track/4a6q8CR2hzLk2plDkSxkfD,0.812,0.519,2,-4.823,1,0.0385,0.379,0.0,0.13,0.554,104.954,165714,4,0,9
